,filename,m_timestamp,total_coverage,current_coverage,total_coverage_own_finds,running_s
2284,id_5_3_001389_cov,2019-10-30 22:10:31.200676096,4873,729,3499,28775.0
2285,id_5_3_001390,2019-10-30 22:10:31.308675328,4873,919,3499,28775.0
2286,id_5_3_001405,2019-10-30 22:19:27.467619840,4873,887,3499,29311.0
2287,id_5_3_001451,2019-10-30 22:49:50.302507008,4873,739,3499,31134.0
2288,id_5_3_001460,2019-10-30 23:01:51.119721472,4873,891,3499,31855.0
2289,id_5_4_001387,2019-10-30 22:05:33.171485952,4873,1554,3499,28477.0
2290,id_5_4_001394,2019-10-30 22:15:37.889784576,4873,1754,3499,29081.0
2291,id_5_4_001417_cov,2019-10-30 22:32:19.036387584,4875,498,3501,30083.0
2292,id_5_4_001418_cov,2019-10-30 22:32:19.044387840,4876,442,3502,30083.0
2293,id_5_4_001419_cov,2019-10-30 22:32:19.124387072,4878,453,3504,30083.0
2294,id_5_4_001420_cov,2019-10-30 22:32:19.124387072,4883,500,3509,30083.0
2295,id_5_4_001421_cov,2019-10-30 22:32:19.132386816,4885,497,3511,30083.0
2296,id_5_4_001422_cov,2019-10-30 22:32:19.132386816,4886,455,3512,30083.0
2297,id_5_4_001423_cov,2019-10-30 22:32:19.144386816,4889,501,3515,30083.0
2298,id_5_4_001424_cov,2019-10-30 22:32:19.144386816,4893,505,3519,30083.0
2299,id_5_4_001425_cov,2019-10-30 22:32:19.152386560,4895,492,3521,30083.0
2300,id_5_4_001426_cov,2019-10-30 22:32:19.152386560,4900,503,3526,30083.0
2301,id_5_5_001378,2019-10-30 21:45:21.822899200,4900,830,3526,27265.0
2302,id_5_5_001395,2019-10-30 22:16:36.945227776,4900,986,3526,29140.0
2303,id_5_5_001406_cov,2019-10-30 22:19:47.019435520,4900,1153,3526,29330.0
2304,id_5_5_001407,2019-10-30 22:19:59.027322368,4900,829,3526,29342.0
2305,id_5_5_001431_cov,2019-10-30 22:37:03.525717760,4903,570,3529,30367.0
2306,id_5_5_001432_cov,2019-10-30 22:37:03.529717760,4909,574,3535,30367.0
2307,id_5_5_001433_cov,2019-10-30 22:37:03.529717760,4909,574,3535,30367.0
2308,id_5_5_001434_cov,2019-10-30 22:37:03.529717760,4910,572,3536,30367.0
2309,id_5_5_001435_cov,2019-10-30 22:37:03.529717760,4912,571,3538,30367.0
2310,id_5_5_001441,2019-10-30 22:39:22.860408576,4912,757,3538,30506.0
2311,id_5_5_001459,2019-10-30 23:00:55.200248064,4912,1518,3538,31799.0
2312,id_5_5_001463,2019-10-30 23:07:10.360715520,4912,913,3538,32174.0
2313,id_5_6_001373,2019-10-30 21:29:10.952065024,4912,986,3538,26294.0
2314,id_5_6_001381,2019-10-30 21:52:07.927071488,4912,1356,3538,27671.0
2315,id_5_6_001427_cov,2019-10-30 22:33:09.723912448,4912,871,3538,30133.0
2316,id_5_6_001440,2019-10-30 22:38:23.564965632,4912,916,3538,30447.0
2317,id_5_6_001449,2019-10-30 22:45:28.340971776,4912,1638,3538,30872.0
2318,id_5_6_001455_cov,2019-10-30 22:55:36.887244800,4914,894,3540,31480.0
2319,id_5_6_001466,2019-10-30 23:08:41.411858432,4914,849,3540,32265.0
2320,id_5_7_001388,2019-10-30 22:05:34.399474176,4914,1560,3540,28478.0
2321,id_5_7_001430,2019-10-30 22:36:45.785884416,4914,920,3540,30349.0
2322,id_5_7_001436_cov,2019-10-30 22:37:25.973506816,4916,568,3542,30389.0
